card_id,name,pitch,classes,talents,kind,type_text,cost,power,defense,cc_legal,rarities,easiest_rarity,sets,printing_code,image_url
gDzD7QkWQPMFTHNmGpHbJ,Act of Glory,1,Guardian,,Deck,Guardian Instant - Aura,4,,3,true,C|P,C,APS|LGS|SLY|SUP,APS011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/APS011.webp
c7L7tfCdjwwjb9MQfTNDQ,Act of Glory,2,Guardian,,Deck,Guardian Instant - Aura,4,,3,true,C,C,SUP,SUP196,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SUP196.webp
mb9NWzptP6Cnzk9tjMP8f,Act of Glory,3,Guardian,,Deck,Guardian Instant - Aura,4,,3,true,C,C,APS|SUP,APS022,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/APS022.webp
Wmr8NmHdQCmPCbMBPncTq,Adaptive Alpha Mold,,Mechanologist,,Equipment,Mechanologist Equipment - Base,,,1,true,M,M,SUP,SUP253,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SUP253.webp
8TPwpCdF6GRn7cQRRGjQJ,Adaptive Dissolver,,Mechanologist,,Equipment,Mechanologist Equipment - Base,,,,true,M,M,ROS,ROS246,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ROS246.webp
mkTDPKqkm7cprrDzWbF9z,Adaptive Plating,,Mechanologist,,Equipment,Mechanologist Equipment,,,1,true,P|L,P,EVO|FAB,EVO013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/EVO013-RF.webp
W7wh8hBkTd9ntjtFfqrdz,Adrenaline Rush,1,Generic,,Deck,Generic Action - Attack,2,4,2,true,C,C,HVY|MON,HVY222,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/HVY222.webp
KjgnpjTfDBhndccFCCDHn,Adrenaline Rush,2,Generic,,Deck,Generic Action - Attack,2,3,2,true,C,C,HVY|MON,HVY223,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/HVY223.webp
bTCfkj7Q8WQKHcnhGqHCr,Adrenaline Rush,3,Generic,,Deck,Generic Action - Attack,2,2,2,true,C,C,HVY|MON,HVY224,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/HVY224.webp
KtgRgFrrFDpzMQDJLLMwt,"Aegis, Archangel of Protection",,,Light,Deck,Light - Angel Ally,,4,,true,M|V,M,DTD,DTD007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DTD007_BACK.webp
BzkLdhrmkWpnbDBWNMJhp,Aether Arc,3,Wizard,,Deck,Wizard Action,0,,3,true,M,M,HVY,HVY252,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/HVY252.webp
pLwDDWbJgbKkQCpzDrc7Q,Aether Ashwing,,Illusionist,Draconic,Token,Draconic Illusionist Token - Dragon Ally,,1,,true,T|C|V,T,DRO|UPR,DRO003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DRO003.webp
8rwTJkbzktjbhbQbPCKrc,Aether Bindings of the Third Age,,Wizard,,Equipment,Wizard Equipment - Arms,,,1,true,P|L,P,FAB|ROS,FAB253,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/FAB253-GF.webp
HFnfqgNGj6JdDwMjDC7KQ,Aether Conduit,,Wizard,,Weapon,Wizard Weapon - Staff (2H),,,,true,R,R,1HP|CRU,1HP304,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP304.webp
BhFQMNHMHH9ddMH86tqQ9,Aether Crackers,,Runeblade,,Equipment,Runeblade Equipment - Arms,,,0,true,C|P,C,AUR|FAB,AUR005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AUR005.webp
w6BQnKDGdGkHCTzjF6htg,Aether Dart,1,Wizard,,Deck,Wizard Action,0,,3,true,C,C,UPR,UPR173,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/UPR173.webp
cdTzctFmkNMpNK6HzT8nd,Aether Dart,2,Wizard,,Deck,Wizard Action,0,,3,true,C,C,UPR,UPR174,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/UPR174.webp
PMwLzbCCndFwFww6nrzDf,Aether Dart,3,Wizard,,Deck,Wizard Action,0,,3,true,C,C,UPR,UPR175,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/UPR175.webp
jJchLwfJKhdhk8Hw7R6KP,Aether Flare,1,Wizard,,Deck,Wizard Action,1,,3,true,C,C,1HP|ARC,1HP323,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP323.webp
zgkKwhBtRQf9zWz6kpPJR,Aether Flare,2,Wizard,,Deck,Wizard Action,1,,3,true,C,C,1HP|ARC,1HP324,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP324.webp
bbGgprKNzmQPQP9P6CQkL,Aether Flare,3,Wizard,,Deck,Wizard Action,1,,3,true,C,C,1HP|ARC,1HP325,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP325.webp
QKhbmNTMMfFNmDkp7gcRd,Aether Hail,1,Wizard,Ice,Deck,Ice Wizard Action,1,,3,true,C,C,UPR,UPR127,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/UPR127.webp
jjrTzdzpWGzMQpFcnfhKN,Aether Hail,2,Wizard,Ice,Deck,Ice Wizard Action,1,,3,true,C,C,UPR,UPR128,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/UPR128.webp
zDTzDhgpDhCNzqqkPMDW7,Aether Hail,3,Wizard,Ice,Deck,Ice Wizard Action,1,,3,true,C,C,SIY|UPR,SIY020,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SIY020.webp
jGzKJnCwkjfHhPhRzk7gj,Aether Icevein,1,Wizard,Elemental,Deck,Elemental Wizard Action,3,,3,true,C,C,SIY|UPR,SIY014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SIY014.webp
DJDqrcJFQNWHPfPjhQNG8,Aether Icevein,2,Wizard,Elemental,Deck,Elemental Wizard Action,3,,3,true,C,C,SIY|UPR,SIY018,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SIY018.webp
PRDqBbn6d9cWtWjMjptKj,Aether Icevein,3,Wizard,Elemental,Deck,Elemental Wizard Action,3,,3,true,C,C,SIY|UPR,SIY021,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SIY021.webp
wd9TtjtPGfbWKQPprJfj9,Aether Ironweave,,Runeblade,,Equipment,Runeblade Equipment - Chest,,,1,true,C|P,C,CHN|FAB|MON,CHN005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/CHN005.webp
BrJTbrWqKzQRmRLrfbmcb,Aether Quickening,1,Wizard,,Deck,Wizard Action,1,,3,true,C|R|P,C,DYN|FAB|OSC|ROS|VER,DYN197,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DYN197.webp
KKRrkTpNjNQB9wmwGCCGF,Aether Quickening,2,Wizard,,Deck,Wizard Action,1,,3,true,C|R|P,C,DYN|FAB|ROS,DYN198,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DYN198.webp
ntkQpCD8QdNG6KMNchJNw,Aether Quickening,3,Wizard,,Deck,Wizard Action,1,,3,true,C|R|P,C,DYN|FAB|ROS|SBZ,DYN199,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DYN199.webp
b7h97MzpKF8mNqMr8B9Fq,Aether Sink,2,Mechanologist,,Deck,Mechanologist Action - Item,1,,,true,R,R,1HP|ARC,1HP199,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP199.webp
CNpTdPFLhRdt6N7qgQqkC,Aether Slash,1,Runeblade,,Deck,Runeblade Action - Attack,1,4,3,true,C,C,DYN,DYN182,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DYN182.webp
f6WQfPKfkjbdj9FpC8zDw,Aether Slash,2,Runeblade,,Deck,Runeblade Action - Attack,1,3,3,true,C,C,DYN,DYN183,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DYN183.webp
PgRT6QwWgcLdGhcNLHfmj,Aether Slash,3,Runeblade,,Deck,Runeblade Action - Attack,1,2,3,true,C,C,DYN,DYN184,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DYN184.webp
hwTCzg9hgmBpj86czpKMq,Aether Spindle,1,Wizard,,Deck,Wizard Action,2,,3,true,R,R,1HP|ARC|SBZ,1HP314,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP314.webp
7kLCKQ6thffmpJQpLhzzJ,Aether Spindle,2,Wizard,,Deck,Wizard Action,2,,3,true,R,R,1HP|ARC,1HP315,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP315.webp
Bd8bgdrphcfzHhTNtbmPr,Aether Spindle,3,Wizard,,Deck,Wizard Action,2,,3,true,R,R,1HP|ARC|SBZ,1HP316,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP316.webp
CrWjLrqtQtppQhQCMt9LH,Aether Wildfire,1,Wizard,,Deck,Wizard Action,2,,3,true,M,M,EVR,EVR123,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/EVR123.webp
hp6NPdQkGkWhrwpd7JWTF,Aetherize,3,Wizard,,Deck,Wizard Instant,1,,,true,M,M,CRU,CRU164,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/CRU164.webp
9zRFqTmPffQ8Q8dKbPdrb,Aethersling,1,Wizard,,Deck,Wizard Action,1,,2,true,R,R,OMN,OMN134,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/OMN134.webp
hTQgmpCHwLFgQnFbgf6tC,Aetherstorm Wellingtons,,Wizard,,Equipment,Wizard Equipment - Legs,,,0,true,R,R,PEN|SBZ|SIY,PEN110,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/PEN110.webp
7brgFMk9NrkLtzqKrhFFW,Affirm Loyalty,1,Warrior,Draconic,Deck,Draconic Warrior Attack Reaction,0,,2,true,R|P,R,FNG|GEM|HNT,FNG009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/FNG009.webp
QrQCpQFPnLLPqN8qKgpTp,Aftershock,1,Guardian,,Deck,Guardian Action - Attack,4,8,3,true,R,R,MPG,MPG035,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPG035.webp
qjmwqndpkqntDpKCcTcbp,Aftershock,2,Guardian,,Deck,Guardian Action - Attack,4,7,3,true,R,R,MPG,MPG036,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPG036.webp
Tdqgbj6LhfPt6HzTHTwFK,Aftershock,3,Guardian,,Deck,Guardian Action - Attack,4,6,3,true,R,R,MPG,MPG037,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPG037.webp
k7MhcFckGBzRHjNQ6WhMR,Aggressive Pounce,1,Brute,,Deck,Brute Action - Attack,2,6,3,true,C|P,C,GEM|PEN,GEM114,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM114.webp
zRmqkJcWnz6H9cTjB8DqF,Aggressive Pounce,2,Brute,,Deck,Brute Action - Attack,2,5,3,true,C,C,PEN,PEN010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/PEN010.webp
JCRhKzfTd6pJCpdrwL8rt,Aggressive Pounce,3,Brute,,Deck,Brute Action - Attack,2,4,3,true,C,C,PEN,PEN011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/PEN011.webp
tFKpRnDbfcwtC8dwqm9qm,Agile Engagement,1,Warrior,,Deck,Warrior Attack Reaction,1,,2,true,C,C,HVY|KSI|OLA|SDO,HVY115,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/HVY115.webp
9czLrcQJTpWrCcJRm8dnz,Agile Engagement,2,Warrior,,Deck,Warrior Attack Reaction,1,,2,true,C,C,HVY,HVY116,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/HVY116.webp
Mj9fkHtdrzzmDw8RNCKmT,Agile Engagement,3,Warrior,,Deck,Warrior Attack Reaction,1,,2,true,C,C,HVY|KSI|OLA,HVY117,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/HVY117.webp
Rmm8PgnzKNNfLcnKh86jd,Agile Windup,1,Brute|Warrior,,Deck,Brute / Warrior Action - Attack,3,7,2,true,C,C,HVY|KYO|RHI,HVY163,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/HVY163.webp
rbzdbLWNThgMnfbcpj7zK,Agile Windup,2,Brute|Warrior,,Deck,Brute / Warrior Action - Attack,3,6,2,true,C,C,HVY|KYO|RHI,HVY164,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/HVY164.webp
h9jqjKPhPLfwCdgkQ9NBB,Agile Windup,3,Brute|Warrior,,Deck,Brute / Warrior Action - Attack,3,5,2,true,C,C,AKO|HVY|KYO|SKA,AKO017,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AKO017.webp
WqTTMjDgKKCp7Lnb7LH6d,Agility,,Generic,,Token,Generic Token - Aura,,,,true,B|T|P,B,AKO|ARR|FAB|HVY|KSI|KYO|LGS|OLA|RHI|SBL|SDO|SKA,AKO027,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AKO027.webp
DfHHPcLzbncDMhkJgQKKm,Agility Stance,2,Warrior,,Deck,Warrior Action - Aura,0,,3,true,R|P,R,FAB|HNT,FAB313,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/FAB313-RF.webp
BcJhMTnwWRcdhGHMCpr8H,Air of a Comeback,,,,Deck,Event,,,,false,M,M,SMP,SMP007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SMP007.webp
FRcp7jQfPRK6h8NfrJ77h,All In,1,Warrior,,Deck,Warrior Action,0,,3,true,M,M,MPW,MPW027,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW027.webp
nBf66Gt7ghRTqhn7nNqKh,Alluring Inducement,2,Shapeshifter,,Deck,Shapeshifter Action - Attack,2,2,2,true,M,M,DTD,DTD215,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DTD215.webp
DgpbP8LBpCffdNgH8t9LB,Alluvion Constellas,,Wizard,,Equipment,Wizard Equipment - Chest,,,0,true,P|L,P,FAB|UPR,FAB084,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/FAB084-GF.webp
kBJJjzp8KMrRWcwMwKWcW,Alpha Instinct,3,Brute,,Deck,Brute Action - Attack,3,6,0,true,M|P,M,ARR|GEM,ARR022,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ARR022.webp
GgDFFHhLh8Kc7tJK8nBLj,Alpha Rampage,1,Brute,,Deck,Brute Action - Attack,3,9,3,true,M,M,1HP|RVD|WTR,1HP010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP010.webp
7nk7cnttWTLRfKgLWnWwP,Already Dead,1,Assassin,,Deck,Assassin Action - Attack,2,6,3,true,M,M,EVO,EVO236,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/EVO236.webp
rnCGHPJFzCqjPfbkJTKHM,Amethyst Amulet,3,Generic,,Deck,Generic Action - Item,0,,,true,M|V,M,SEA,SEA189,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SEA189.webp
tqL9KdjgkjfnQ98H97dJw,Amethyst Tiara,,Runeblade,,Equipment,Runeblade Equipment - Head,,,1,true,M|V,M,DYN,DYN171,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DYN171.webp
87BJMWWHfPLKMqPbtmFHQ,Amnesia,1,Generic,,Deck,Generic Action - Attack,2,6,3,true,M,M,ANQ|OUT,ANQ011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ANQ011.webp
GFRQBDGRhL9DMtwzKq7CL,Amplify the Arknight,1,Runeblade,,Deck,Runeblade Action - Attack,3,6,3,true,C,C,1HP|ARC|AVS|SVI,1HP282,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP282.webp
zdgkJ9mtbmkbQfpzm9Thc,Amplify the Arknight,2,Runeblade,,Deck,Runeblade Action - Attack,3,5,3,true,C,C,1HP|ARC,1HP283,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP283.webp
zmmpt8q8HqPFwPKK66Mjm,Amplify the Arknight,3,Runeblade,,Deck,Runeblade Action - Attack,3,4,3,true,C,C,1HP|ARC|AVS,1HP284,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP284.webp
qQpfrfHQMP8ND8NjBK6pM,Amplifying Arrow,2,Ranger,,Deck,Ranger Action - Arrow Attack,0,2,3,true,M,M,OUT,OUT100,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/OUT100.webp
zDfRfgF6fn7WGTKcj67JK,Amulet of Assertiveness,2,Generic,,Deck,Generic Action - Item,0,,,true,R,R,EVR,EVR176,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/EVR176.webp
8PgrwjDp8NNrz9mDGDP8B,Amulet of Earth,3,,Earth,Deck,Earth Action - Item,0,,,true,C|P,C,BRI|ELE|LGS,BRI026,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/BRI026.webp
fgWtKprkRGWMhWwkCPJFm,Amulet of Echoes,3,Generic,,Deck,Generic Action - Item,0,,,true,R,R,EVR,EVR177,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/EVR177.webp
77rfcbF6JzTp98njhmLrq,Amulet of Havencall,3,Generic,,Deck,Generic Action - Item,0,,,true,R,R,EVR,EVR178,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/EVR178.webp
t6MkmHjPRNghmMcMQbqch,Amulet of Ice,3,,Ice,Deck,Ice Action - Item,0,,,true,C|P,C,AJV|ELE|LGS|OLD,AJV026,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AJV026.webp
LPkdwMCjwHHMC6wkHCbRb,Amulet of Ignition,2,Generic,,Deck,Generic Action - Item,0,,,true,R,R,EVR,EVR179,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/EVR179.webp
77HjThGWgwMQMqDRNBLMc,Amulet of Intervention,3,Generic,,Deck,Generic Action - Item,0,,,true,R,R,EVR,EVR180,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/EVR180.webp
fCzgQtjJ9Q8gdrPq9t7Wc,Amulet of Lightning,3,,Lightning,Deck,Lightning Action - Item,0,,,true,C|P,C,ELE|LGS|LXI,ELE201,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ELE201.webp
rtq8MPBRKQzBpWTWRpj8t,Amulet of Oblation,3,Generic,,Deck,Generic Action - Item,0,,,true,R,R,EVR,EVR181,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/EVR181.webp
b8QzFkMC9fKfngpQHwNBK,Anaphylactic Shock,3,Assassin,,Deck,Assassin Instant - Trap,0,,,true,M,M,HNT,HNT016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/HNT016.webp
qCDqQNmzPzM8DfbRPBqWj,Ancestral Empowerment,1,Ninja,,Deck,Ninja Attack Reaction,0,,3,true,M,M,1HP|WTR,1HP103,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP103.webp
qdbgkqgpTRMQQPr7jcdQL,Ancestral Harmony,3,Ninja,,Deck,Ninja Action,0,,3,true,M,M,HVY,HVY247,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/HVY247.webp
ncw9gNCtknnPLww6gGzGC,And Again...,3,Warrior,,Deck,Warrior Action,1,,3,true,M,M,MPW,MPW028,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW028.webp
CFkkCCFjGpQMLrRgFd87W,Angelic Attendant,2,Illusionist,Light,Deck,Light Illusionist Action,0,,3,true,M,M,SUP,SUP265,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SUP265.webp
bnhnjB7ggkRhpfqQHn6D6,Angelic Descent,1,Illusionist,Light,Deck,Light Illusionist Instant,0,,,true,C,C,DTD,DTD032,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DTD032.webp
GNPNfqF7phg8dcbCBRjtC,Angelic Descent,2,Illusionist,Light,Deck,Light Illusionist Instant,0,,,true,C,C,DTD,DTD033,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DTD033.webp
zr7wdChDbJcWmfrbTFBrw,Angelic Descent,3,Illusionist,Light,Deck,Light Illusionist Instant,0,,,true,C,C,DTD,DTD034,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DTD034.webp
GGDBMFMgCgn9wmWG6jMkq,Angelic Wrath,1,Illusionist,Light,Deck,Light Illusionist Instant,0,,,true,C|P,C,DTD|LGS,DTD035,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DTD035.webp
DHLWgwppG9tBkQkBqHBKB,Angelic Wrath,2,Illusionist,Light,Deck,Light Illusionist Instant,0,,,true,C|P,C,DTD|LGS,DTD036,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DTD036.webp
QDrMdfMCqDCjTpkBQmdJD,Angelic Wrath,3,Illusionist,Light,Deck,Light Illusionist Instant,0,,,true,C|P,C,DTD|LGS,DTD037,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DTD037.webp
kQ6FBdQthJqphzBCzPcB9,Angry Bones,1,Pirate|Necromancer,,Deck,Pirate Necromancer Action - Attack,2,6,3,true,C,C,SEA,SEA062,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SEA062.webp
jGn7mnKcjTLRfgQH9kChJ,Angry Bones,2,Pirate|Necromancer,,Deck,Pirate Necromancer Action - Attack,2,5,3,true,C,C,SEA,SEA063,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SEA063.webp
7MCWwM6pBCDcRdFRmTJRC,Angry Bones,3,Pirate|Necromancer,,Deck,Pirate Necromancer Action - Attack,2,4,3,true,C,C,SEA,SEA064,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SEA064.webp
JjKJRwQPTtgpcCcLrDRwF,"Anka, Drag Under",2,Pirate|Necromancer,,Deck,Pirate Necromancer Action - Ally,2,5,,true,M|V,M,AGB|SEA,AGB014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AGB014.webp
9gnHtCMJBbDQjqk8cWmhN,Annals of Sutcliffe,,Runeblade,,Weapon,Runeblade Weapon - Book (2H),,,,true,R,R,DYN,DYN172,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DYN172.webp
nh8bCzbkjmR6hPkTCFLrz,Annexation of All Things Known,2,Guardian,,Deck,Guardian Action - Attack,5,8,3,true,R,R,MPG,MPG029,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPG029.webp
hrRRtK6qNccfpgphQJwMd,Annexation of Grandeur,2,Guardian,,Deck,Guardian Action - Attack,5,8,3,true,R,R,MPG,MPG030,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPG030.webp
HnrThKwGrgQMmz69wNbBP,Annexation of the Forge,2,Guardian,,Deck,Guardian Action - Attack,5,8,3,true,R,R,MPG,MPG031,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPG031.webp
qJfJ7wBLmBtGnBpqQttNK,Annihilate the Armed,1,Assassin,,Deck,Assassin Action - Attack,1,5,3,true,C,C,ARK|DYN,ARK008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ARK008.webp
b97gffj66hdGBhpkTQQQt,Annihilate the Armed,2,Assassin,,Deck,Assassin Action - Attack,1,4,3,true,C,C,DYN,DYN134,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DYN134.webp
7FckgndNDJwgBMfzFRQ86,Annihilate the Armed,3,Assassin,,Deck,Assassin Action - Attack,1,3,3,true,C,C,ARK|DYN,ARK019,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ARK019.webp
7ncNDLjkpLkn9MmfKqfKM,Annihilator Engine,1,Mechanologist,,Deck,Mechanologist Action - Attack,6,6,3,true,M,M,EVO,EVO054,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/EVO054.webp
BFWbnQjgKgRBjw88jK8KH,Anothos,,Guardian,,Weapon,Guardian Weapon - Hammer (2H),,4,,true,T|C|P,T,1HP|BVO|CRU|FAB|LGS|WTR|XXX,1HP045,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP045.webp
wJQMt6Lpf6D9JFQ8BW898,Anthem of Spring,3,,Earth,Deck,Earth Action,0,,2,true,M,M,DTD,DTD196,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/DTD196.webp
b8JRFt6dF7JckNz8N6kDN,Anticipating Gaze,,Warrior,,Equipment,Warrior Equipment - Head,,,2,true,M,M,AHA,AHA003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AHA003-RF.webp
QTpCnrrjTbQhdRdLBzLzB,Apex Bonebreaker,,Brute,,Equipment,Brute Equipment - Arms,,,2,true,P|L,P,FAB|HVY,FAB179,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/FAB179-GF.webp
